2025-04-13T05:35:23.064045500 - Início do scan...
2025-04-13T05:35:40.688992700 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\fi.txt
2025-04-13T05:35:40.829834800 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\fr.txt
2025-04-13T05:35:40.952033300 - ✅ Ficheiro seguro: c:\App\7-Zip\Lang\fur.txt
2025-04-13T05:38:18.343103200 - Início do scan...
2025-04-13T05:38:25.035327500 - ✅ Ficheiro seguro: c:\temp\BDVirus\antivirus_log.txt
2025-04-13T05:38:25.172831100 - ✅ Ficheiro seguro: c:\temp\BDVirus\malware.exe
2025-04-13T05:38:25.253170900 - ✅ Ficheiro seguro: c:\temp\BDVirus\malware_hashes.csv
2025-04-13T05:38:25.388037700 - ✅ Ficheiro seguro: c:\temp\BDVirus\meuHASH.txt
2025-04-13T05:38:25.544646800 - ✅ Ficheiro seguro: c:\temp\BDVirus\openphish_feed.txt
2025-04-13T05:38:25.686305800 - ✅ Ficheiro seguro: c:\temp\dir\in\out\Ficheiro.txt
2025-04-13T05:38:25.686305800 - Scan concluído.

2025-04-13T05:38:58.341567700 - Início do scan...
2025-04-13T05:39:03.614764800 - ✅ Ficheiro seguro: c:\temp\BDVirus\antivirus_log.txt
2025-04-13T05:39:03.693689700 - ✅ Ficheiro seguro: c:\temp\BDVirus\malware.exe
2025-04-13T05:39:03.767542700 - ✅ Ficheiro seguro: c:\temp\BDVirus\malware_hashes.csv
2025-04-13T05:39:03.835112 - ✅ Ficheiro seguro: c:\temp\BDVirus\meuHASH.txt
2025-04-13T05:39:03.903762300 - ✅ Ficheiro seguro: c:\temp\BDVirus\openphish_feed.txt
2025-04-13T05:39:03.969986400 - ✅ Ficheiro seguro: c:\temp\dir\in\out\Ficheiro.txt
2025-04-13T05:39:03.970969400 - Scan concluído.

2025-04-13T05:44:31.870225600 - Início do scan...
2025-04-13T05:44:39.500556300 - ✅ Ficheiro seguro: c:\temp\BDVirus\antivirus_log.txt
2025-04-13T05:44:39.629932200 - ✅ Ficheiro seguro: c:\temp\BDVirus\malware.exe
2025-04-13T05:44:39.804747200 - ✅ Ficheiro seguro: c:\temp\BDVirus\malware_hashes.csv
2025-04-13T05:44:39.926173800 - ✅ Ficheiro seguro: c:\temp\BDVirus\meuHASH.txt
2025-04-13T05:44:40.043991700 - ✅ Ficheiro seguro: c:\temp\BDVirus\openphish_feed.txt
2025-04-13T05:44:40.164323400 - ✅ Ficheiro seguro: c:\temp\dir\in\out\Ficheiro.txt
2025-04-13T05:44:40.165334200 - Scan concluído.

